AGE,YOJ,INCOME,TRAVTIME,CAR_USE,BLUEBOOK,CAR_TYPE,RED_CAR,MVR_PTS,CAR_AGE,URBANICITY,RISK_VALUE
60.0,11.0,67349.0,14,Private,14230.0,Minivan,yes,3,18.0,Highly Urban/ Urban,7
43.0,11.0,91449.0,22,Commercial,14940.0,Minivan,yes,0,1.0,Highly Urban/ Urban,6
48.0,11.0,52881.0,26,Private,21970.0,Van,yes,2,10.0,Highly Urban/ Urban,5
35.0,10.0,16039.0,5,Private,4010.0,SUV,no,3,10.0,Highly Urban/ Urban,4
51.0,14.0,0.0,32,Private,15440.0,Minivan,yes,0,6.0,Highly Urban/ Urban,6
50.0,12.0,114986.0,36,Private,18000.0,SUV,no,3,17.0,Highly Urban/ Urban,8
34.0,12.0,125301.0,46,Commercial,17430.0,Sports Car,no,0,7.0,Highly Urban/ Urban,8
54.0,12.0,18755.0,33,Private,8780.0,SUV,no,0,1.0,Highly Urban/ Urban,4
40.0,11.0,50815.0,21,Private,18930.0,Minivan,no,2,1.0,Highly Urban/ Urban,4
44.0,12.0,43486.0,30,Commercial,5900.0,SUV,no,0,10.0,Highly Rural/ Rural,4
37.0,12.0,107961.0,44,Commercial,16970.0,Van,yes,10,7.0,Highly Urban/ Urban,8
34.0,10.0,62978.0,34,Private,11200.0,SUV,no,0,1.0,Highly Urban/ Urban,5
50.0,7.0,106952.0,48,Commercial,18510.0,Van,no,1,17.0,Highly Rural/ Rural,8
53.0,14.0,77100.0,15,Private,18300.0,Sports Car,no,0,11.0,Highly Urban/ Urban,5
43.0,5.0,52642.0,36,Private,22420.0,Minivan,no,0,1.0,Highly Rural/ Rural,6
55.0,11.0,59162.0,25,Commercial,17600.0,Van,yes,3,9.0,Highly Urban/ Urban,7
53.0,11.0,130795.0,64,Commercial,28340.0,Panel Truck,yes,3,10.0,Highly Urban/ Urban,7
35.0,12.0,21204.0,74,Private,9230.0,Pickup,no,0,4.0,Highly Rural/ Rural,4
45.0,0.0,0.0,48,Private,6000.0,SUV,no,3,5.0,Highly Urban/ Urban,5
39.0,12.0,51884.0,43,Private,10590.0,SUV,no,0,13.0,Highly Rural/ Rural,4
59.0,12.0,87460.0,45,Private,15420.0,Minivan,yes,4,1.0,Highly Urban/ Urban,7
42.0,11.0,59945.0,42,Private,14190.0,Minivan,no,0,16.0,Highly Urban/ Urban,7
34.0,13.0,34019.0,27,Private,8300.0,SUV,no,0,20.0,Highly Urban/ Urban,5
31.0,12.0,18903.0,48,Private,17330.0,Minivan,no,0,7.0,Highly Urban/ Urban,5
28.0,13.0,44077.0,29,Commercial,8710.0,SUV,no,0,1.0,Highly Urban/ Urban,4
